电影名称,年份,上映时间,电影类型,电影时长,评分,语言,制作组,简介
露西·希姆斯和和平王子,(2020),2020-10-19 (US),剧情、家庭,1h 27m,84,英语,"{'Rob Diamond': 'Director, Writer'}",假日季节，一位天使帮助一个冷酷的罪犯和一个早熟的小女孩相遇，并改变了他们的内心，从而给予他们第二次机会。
声之形,(2016),2017-09-08 (CN),动画、剧情、爱情,2h 10m,84,日语,"{'山田尚子': 'Director', '吉田玲子': 'Screenplay'}",西宫硝子（早见沙织 配音）生来患有听觉障碍，要依靠助听器和外界交流，口语发音也因此格外的古怪。小学时，硝子转入了一所新的学校，特殊的生理缺陷让她成为了班上引人注目的独特存在，她因此收获了坚实的友情，却也遭到了以男生石田将也（入野自由 配音）为首的小团体的孤立和排挤。随着时 间的推移，无心或有意的恶作剧渐渐升级，最终演变成为了无法挽回的伤害，硝子永远的消失在了众人的眼前。排挤硝子的事情曝光后，将也成为了下一个被欺负的对象，孤独痛苦的他终于理解了硝子的隐忍和温柔，只是他再也没有机会跟硝子道歉了。一次偶然中，将也同硝子重逢了，命运的齿轮重新开始了转动。
哈尔的移动城堡,(2004),2004-04-24 (CN),奇幻、动画、冒险,1h 59m,84,日语,"{'宫崎骏': 'Director, Screenplay', '戴安娜·温尼·琼斯': 'Novel'}",一部精彩的动画冒险新作，颂扬了爱情的力量可以改变一切，以及人类精神面对逆境时的韧性。
加百列的地狱,(2020),,,,84,英语,"{'托斯卡·马斯克': 'Director', 'Sylvain Reynard': 'Novel', 'Mary Pocrnic': 'Screenplay'}",一个迷人的探索诱惑，禁止的爱，和救赎，一个迷人和激情的故事，一个人从他自己的地狱，因为他试图赢得不可能的宽恕和爱。
七宗罪,(1995),1995-09-22 (CN),犯罪、悬疑、惊悚,2h 7m,84,英语,"{'大卫·芬奇': 'Director', '安德鲁·凯文·沃克': 'Writer'}",“暴食”、“贪婪”、“懒惰”、“嫉妒”、“骄傲”、“淫欲”、“愤怒”，这是天主教教义所指的人性七宗罪。城市中发生的连坏杀人案，死者恰好都是犯有这些教义的人。凶手故弄玄虚的作案手法，令资深冷静的警员沙摩塞（摩根•弗里曼 Morgan Freeman 饰）和血气方刚的新扎警员米尔斯（布拉德•皮特 Brad Pitt 饰）都陷入了破案的谜团中。他们去图书馆研读但丁的《神曲》，企图从人间地狱的描绘中找到线索，最后从宗教文学哲学的世界中找到了凶手作案计划和手段的蛛丝马迹。凶手前来投案自首，这令众人都松了一口气，以为案件就此结束，怎料还是逃不出七宗罪的杀人逻辑，这次凶手瞄准的目标，是那个犯了“愤怒”罪的人……
美国往事,(1984),2015-04-23 (CN),剧情、犯罪,3h 49m,84,英语,"{'赛尔乔·莱昂内': 'Director, Screenplay', '哈里·格雷': 'Novel', '莱昂纳多·本韦努蒂': 'Screenplay', '恩里科·梅迪奥利': 'Screenplay', '皮耶罗·德·贝尔纳迪': 'Screenplay', '佛朗哥·费里尼': 'Screenplay', '弗朗哥·阿尔卡利': 'Screenplay'}",二十年代的美国，纽约少年“面条”和几个同龄朋友一起认识了聪明狡黠的“麦克斯”，他们开始从事走私活动。不久，面条在一场械斗中杀伤人命，被关进监牢。若干年后，“面条”出狱，当时的小伙伴们已经变成了健壮的青年人，在“麦克斯”的带领下，他们开始了一系列抢劫、盗窃、敲诈活动。随着犯罪活动的不断深入， “麦克斯”似乎被胜利冲昏了头脑，竟然把美国联邦储备银行也列入了行动目标。“面条”不忍眼看好友走向毁灭，偷偷打电话报警，想逼迫“麦克斯”收手。警察与 “面条”的朋友展开激烈枪战，“麦克斯”等人全部被杀。“面条”带着深深的悔恨和痛苦，离开纽约，回到年少时生长的地方。三十五年过去了，几近垂暮的“面条”重新回到纽约的伤心地，他遇见了少时的朋友和旧情人，而当年“麦克斯”他们的死，背后竟然包含着出乎意料的阴谋。
爆裂鼓手,(2014),2024-12-06 (CN),剧情、音乐、惊悚,1h 47m,84,英语,"{'达米恩·查泽雷': 'Director, Writer'}",年轻的爵士鼓手安德鲁·奈曼就读于全国顶尖的音乐学院，师从令人畏惧的爵士乐导师特伦斯·弗莱彻，在成为顶尖爵士鼓手的道路上奋力挣扎。
钢琴家,(2002),2003-01-24 (GB),剧情、战争,2h 30m,84,英语,"{'罗曼·波兰斯基': 'Director', '罗纳德·哈伍德': 'Screenplay'}",波兰犹太裔天才钢琴家瓦迪斯瓦夫·什皮尔曼逃脱了驱逐，被迫生活在华沙犹太区的中心，亲历苦难、屈辱与挣扎。他设法逃出并藏身于首都的废墟中，一名德国军官向他伸出援手，助他幸存。[焦点影业]
盗梦空间,(2010),2010-09-01 (CN),动作、科幻、冒险,2h 28m,84,英语,"{'克里斯托弗·诺兰': 'Director, Writer'}",道姆·柯布与同事阿瑟和纳什在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯，吸收了年轻的梦境设计师艾里阿德妮、梦境演员艾姆斯和药剂师约瑟夫加入行动。在一层层递进的梦境中，柯布不仅要对付费希尔潜意识的本能反抗，还必须直面已逝妻子梅尔的处处破坏，实际情况远比预想危险得多……
鱿鱼游戏： 第二季 制作特辑,(2025),2025-01-03 (KR),纪录,28m,84,朝鲜语,{'': '此 movie 还没有工作人员信息。你可以帮助添加！'},三年前，鱿鱼游戏由456号选手（李政宰 饰）胜出，他本想远走高飞，却在搭机赴美前临阵反悔，决心展开新计划。成奇勋再度投身这场神秘的生存游戏，又一次赌上性命，与一群新的参赛者一起争夺高达456亿韩元的奖金。
天国与地狱,(1963),1963-03-01 (JP),剧情、犯罪、惊悚,2h 22m,84,日语,"{'黑泽明': 'Director, Screenplay', '埃文·亨特': 'Novel', '小国英雄': 'Screenplay', '永井英次郎': 'Screenplay', '菊岛隆三': 'Screenplay'}",在黑泽明这部极具影响力的家庭伦理剧与刑侦叙事杰作中，三船敏郎饰演的富商权藤金吾令人过目难忘——其家人沦为冷血绑匪的勒索目标。改编自艾德·麦可班恩侦探小说《国王的赎金》的本片，游刃有余地从分秒必争的惊悚剧过渡为精准的社会剖析，铸就了一部关于阶级矛盾与当代日本社会的犀利影像论著。[标准收藏公司]
加百列的地狱：第二部,(2020),2020-07-31 (US),爱情、剧情,1h 46m,83,英语,"{'托斯卡·马斯克': 'Director', 'Sylvain Reynard': 'Novel', 'Mary Pocrnic': 'Screenplay'}",加布里埃尔·爱默生教授终于发现了朱莉娅·米切尔身份的真相，但他的意识到为时已晚。茱莉亚最终希望这位受人尊敬的但丁专家会记住她，并且不想再与他有任何关系。加布里埃尔能在别人的怀抱中找到爱之前赢回她的心吗？
惩罚者：最后一击,(2026),2026-05-12 (US),动作、剧情、犯罪,51m,83,英语,"{'雷纳尔多·马库斯·格林': 'Director, Writer', '老约翰·维克多·罗米塔': 'Characters', 'Ross Andru': 'Characters', '杰瑞·康威': 'Characters', '乔·博恩瑟': 'Writer'}",弗兰克·卡斯特想在复仇之外，追求更有意义的目标，但他却意外地被拉回战场。
沉默的羔羊,(1991),2018-04-16 (CN),犯罪、惊悚、剧情,1h 59m,83,英语,"{'乔纳森·戴米': 'Director', '托马斯·哈里斯': 'Novel', '泰德·塔利': 'Screenplay'}","在这部改编自托马斯·哈里斯畅销小说的惊世之作中，技艺超凡的导演乔纳森·戴米以令人毛骨悚然的笔触，勾勒出缠绕美国社会的梦魇——连环谋杀。朱迪·福斯特颠覆性地诠释了联邦调查局见习探员克拉丽丝·史达琳的形象，为洞悉另一名连环杀手的心智，她不得不求助于恶名昭彰的""食人魔""汉尼拔·莱克特，此番表演亦成为其演艺生涯中最令人难忘的篇章。与她交锋的安东尼·霍普金斯，则塑造出堪称典范的暗黑英雄形象——优雅博学、机锋凌厉却暗藏杀戮本能，令人战栗地呈现了人性彻底堕落的剖面。这部兼具扣人心弦的刑侦叙事与扭曲心理深度探索的杰作，当年横扫奥斯卡最佳影片、导演、改编剧本、男女主角五项大奖，至今仍是影史文化里程碑。[标准收藏公司]"
加百列的地狱：第三部,(2020),,,,83,英语,"{'托斯卡·马斯克': 'Director', 'Sylvain Reynard': 'Novel', 'Mary Pocrnic': 'Screenplay'}",一个黑暗的人带着恶意从茱莉亚的过去回来了。加布里埃尔有他需要分享的秘密，但担心如果他这样做，他会失去一切。他们的关系会经受住秘密揭露的考验吗？他们对但丁和弗洛伦斯的共同热爱会是他们所希望的一切吗？
后窗,(1954),2019-04-13 (CN),惊悚、悬疑、剧情,1h 53m,83,英语,"{'阿尔弗雷德·希区柯克': 'Director', '约翰·迈克尔·海耶斯': 'Screenplay'}",一位足不出户的摄影师透过公寓窗户窥见邻居们的隐秘生活，当他断定其中一人犯下谋杀罪行时，一场扣人心弦的观察与博弈就此展开。詹姆斯·斯图尔特与格蕾丝·凯利联袂出演这场由阿尔弗雷德·希区柯克执导的、在有限空间内层层铺陈悬念的影史经典。
蜘蛛侠：纵横宇宙,(2023),2023-06-02 (CN),动画、动作、冒险、科幻,2h 20m,83,英语,"{'乔伊姆·多斯·桑托斯': 'Director', '肯普·鲍尔斯': 'Director', '贾斯汀·K·汤普森': 'Director', '菲尔·洛德': 'Writer', '戴夫·卡拉汉姆': 'Writer', '克里斯托弗·米勒': 'Writer'}",荣获奥斯卡奖的蜘蛛侠平行宇宙传奇迎来全新篇章。在这段史诗级冒险中，布鲁克林的全职邻家英雄蜘蛛侠迈尔斯·莫拉莱斯将穿越多元宇宙，与格温·史黛西及全新蜘蛛侠团队集结成军，直面前所未见的强大反派。[索尼影业]
罗小黑战记,(2019),2019-08-27 (CN),动画、奇幻、动作,1h 42m,83,-,"{'MTJJ': 'Director, Writer', '彭可欣': 'Writer', '风息': 'Writer'}",在熙攘的人类世界里，很多妖精隐匿其中，他们与人类相安无事地生活着。猫妖罗小黑因为家园被破坏，开始了它的流浪之旅。这场旅途中惺惺相惜的妖精同类与和谐包容的人类伙伴相继出现，让小黑陷入了两难抉择，究竟何处才是真正的归属？
激进教学,(2023),2023-10-19 (MX),剧情,2h 2m,83,西班牙语,"{'Christopher Zalla': 'Director, Screenplay'}",在一个充满忽视、腐败和暴力的墨西哥边境小镇，一名老师决定尝试一种激进的新方法来释放学生的潜力与好奇心，甚至发掘出他们的天才之处。
美国X档案,(1998),1998-10-30 (US),剧情,1h 59m,83,英语,"{'托尼·凯耶': 'Director', '大卫·麦肯纳': 'Screenplay'}",德瑞克 的父亲在他很小的时候就被一名黑人毒贩射杀，从此给他幼小的心灵埋下了仇恨的种子。原来德瑞克功课很好，是老师眼中的好学生。但自从父亲遇难后，他就将一切心机都放在了对付有色人种上面。他积极组织起一帮白人青年混混，到处和有色人种对着干。一次，他射杀了两名黑人，因此入狱。入狱后，德瑞克加入了一伙新纳粹的白人。后来，因工作关系他和一名黑人成了好友，他开始反思自己的过去。当他意欲脱离狱中新纳粹组织时，遭到了拳打脚踢。德瑞克出狱后，决心和以前自己组织的帮会脱离关系，带着弟弟远走他乡开始新的生活。
回到未来,(1985),1985-07-03 (US),冒险、喜剧、科幻,1h 56m,83,英语,"{'罗伯特·泽米吉斯': 'Director, Writer', '鲍勃·盖尔': 'Writer'}",马蒂·麦克弗莱，一位典型的八十年代美国青少年，意外被一台由钚动力驱动的德罗宁“时间机器”送回到1955年——这台机器由一位略带疯狂的科学家发明。在这段时常癫狂、总是惊人的穿越之旅中，马蒂必须确保他那正值青春期的未来父母相遇并坠入爱河，他才能顺利返回未来。[官方简介]
防弹少年团：燃烧舞台电影版,(2018),2018-11-15 (KR),音乐、纪录,1h 25m,83,朝鲜语,{'Park Jun-soo': 'Director'},"防弹少年团的故事将被拍成电影,11月CGV上映!据体育东亚独家报道,讲述防弹少年团成长故事的纪录片形式电影"
幽灵公主,(1997),2025-05-01 (CN),冒险、奇幻、动画,2h 14m,83,日语,"{'宫崎骏': 'Director, Screenplay'}",室町时代时期的虾夷族少年阿席达卡，某日遇到被称为“邪魔神”攻击他所居住村落的怪物。在阿席达卡为了保护村落与邪魔神对战时，过程当中遭受邪魔神的攻击而留下创伤与诅咒。击败了邪魔神之后，阿席达卡发现对方是由一头愤怒的山猪神所变化而成，并在祂的体内发现一颗铁弹。之后村里的女巫便劝他以铁弹为线索，来离开村落前往西方，查找邪魔神产生的来源和解除诅咒方法。  于阿席达卡的旅途中，他拯救了两名来自于炼铁据地“达达拉城”的住民。在协助对方返回到达达拉城之后，阿席达卡得知邪魔神身上的铁弹，便是遭到由达达拉城所打造的火枪所伤，其中达达拉城的统治者黑帽大人因为炼铁缘故从森林中砍伐许多木头资源，便与森林中的神祇交恶发生冲突。起初阿席达卡对于黑帽大人夺取资源、伤害森林神祇的行为感到愤怒，但之后目睹到众多穷人以及被社会隔离的痳疯患者在达达拉城有着生存机会而动摇。  后续他知晓森林里住着一位由犬神所养大，憎恨黑帽大人一心想取下对方性命，有着“幽灵公主”名号的人类少女小桑。在阿席达卡来到达达拉城的当日夜晚里，小桑突然现身于达达拉城内想找寻机会突击黑帽大人。当她们俩人展开打斗时，阿席达卡试图想调停双方之间的斗争，但在阻止的过程中阿席达卡意外遭旁人用石火枪给误射打伤。而小桑之后则将阿席达卡带回自己居住的森林里疗养。  在伤口撤销后，阿席达卡得知小桑打算与其祂山猪神同盟向人类一决死战，并发现到黑帽大人要与朝廷一方势力联手，来夺取名为“山兽神”的森林神祇之首级，以获得对方长生不死能力的事情。之后阿席达卡便试着想在混乱的局势中，找寻可解决冲突的方式。
别假正经,(1984),2024-06-16 (CN),纪录、音乐,1h 28m,83,英语,"{'乔纳森·戴米': 'Director, Writer'}",一部关于摇滚乐队传声头的演唱会纪实电影。
荒野机器人,(2024),2024-09-20 (CN),家庭、动画、科幻、冒险,1h 42m,83,英语,"{'克里斯·桑德斯': 'Director, Screenplay'}",梦工厂动画全新改编文学畅销作品——彼得·布朗荣获大奖、备受喜爱的《纽约时报》榜首畅销书《荒野机器人》。这段史诗冒险讲述机器人“ROZZUM单元7134”（简称“罗兹”）的旅程：她因船只失事流落荒岛，必须学会适应严酷环境，逐渐与岛上动物建立联系，并成为一只孤儿小鹅的养母。[梦工厂影业]
音魂掠影,(2022),2022-02-17 (IT),纪录、音乐、历史,2h 36m,83,意大利语,"{'朱塞佩·托纳多雷': 'Director, Screenplay, Story'}",由著名导演#朱塞佩·托纳多雷#编剧并执导，吉亚尼·罗素、王家卫等人任监制，聚焦意大利音乐大师埃尼奥·莫里康内的传记电影#50年一瞬间的魔幻时刻#正在进行后期制作，计划2020年公映。
未麻的部屋,(1998),2024-04-18 (CN),动画、惊悚,1h 21m,83,日语,"{'今敏': 'Director', '竹内义和': 'Novel', '村井贞之': 'Screenplay'}",当红三人少女偶像团体Charming Bird面临解散，核心成员雾越未麻在事务所的安排下不得不退出团体，转型成为一名电视剧演员。万事开头难，对于偶像歌手转型而来的未麻尤其如此，她在工作中承受着压力，闷闷不乐。与此同时，各种恐吓信不断、经纪人田所先生遇袭以及以自己的口吻在网站上写日记的神秘人都让未麻焦虑不已，恍惚间她甚至看到另一个自己。未麻的苦恼无人知晓，贪婪的田所甚至同意剧组的剧本，要求未麻出演一场尺度极大的强暴戏。这次演出成为未麻演艺事业的转折点，她的出镜率开始攀升，甚至还拍摄了裸露的写真。与此相对，电视剧编剧涩谷和曾给未麻拍下裸照摄影师村野接连遇害。未麻的生活变得混乱不堪，真相究竟如何？本片荣获1997年亚洲奇幻电影节最佳亚洲影片。
死亡诗社,(1989),2026-04-17 (CN),剧情,2h 8m,83,英语,"{'彼得·威尔': 'Director', '托马斯·舒尔曼': 'Writer'}",威尔顿预备学院以其沉稳凝重的教学风格和较高的升学率闻名，作为其毕业班的学生，理想就是升入名校。新学期文学老师约翰·基汀（罗宾·威廉姆斯 饰）的到来如同一阵春风，一反传统名校的严肃刻板...
生之欲,(1952),1952-10-09 (JP),剧情,2h 23m,83,日语,"{'黑泽明': 'Director, Screenplay', '小国英雄': 'Screenplay', '桥本忍': 'Screenplay'}",黑泽明导演生涯的至高成就之一，本片以极致的悲悯凝视死亡，完成对生命的礼赞。志村乔动人诠释胃癌晚期的老公务员渡边勘治，在生命终点踏上追寻意义的旅程。影片以突破性的双段式结构展开，镜头语言浸润着洞察人性本真的人文主义光辉，从多重维度叩问生存的真谛。
紫罗兰永恒花园 剧场版,(2020),2021-12-25 (CN),动画、剧情、奇幻、爱情,2h 20m,83,日语,"{'石立太一': 'Director', '晓佳奈': 'Novel', '吉田玲子': 'Screenplay'}",——「爱」究竟是什么？  曾经将「爱」告诉自己、 给予自己的，重要的人。  即使想见，却再也见不到。 永远。 放开了手的、最最重要的那个人。  从事代笔业的她，名字是「薇尔莉特·伊芙加登」。自幼身为士兵参战，没能获得培育心灵机会的她，无法理解自己重要的上司「吉尔伯特·布干维利亚」所留下的话语。——我从心底，爱着你。  让人们背负深深伤痕的战争结束之后，经过数年。生活随着新技术的开发而改变，人们开始面向前方前进。但，薇尔莉特坚信着吉尔伯特还在某处活着，每一天只是思念着他。——亲爱的吉尔伯特少校。今天我又再一次回忆起了少校的事情。薇尔莉特强烈的愿望，溶解在静谧的夜当中。  在吉尔伯特母亲的月忌日，薇尔莉特像是要代替他一般地献上鲜花。某天，她与吉尔伯特的哥哥·迪特福利特海军上校不期而遇。迪特福利特告诉她是时候该忘记吉尔伯特了，但薇尔莉特立刻做出了答复。「我无法忘记」。  就在此时，薇尔莉特接到了一通委托电话。委托人是名叫尤里斯的少年。另一方面，在邮政公司的仓库里，发现了一封收信人不明的信……。
同级生,(2016),2016-02-20 (JP),爱情、动画,1h 1m,83,日语,"{'中村章子': 'Director', '中村明日美子': 'Writer'}",夏天时节，东府第一高校要举行合唱祭。在课后合唱训练中，高中二年级A班草壁光（神谷浩史 配音）发现同班的尖子生佐条利人（野岛健儿 配音）并没有开口唱歌。草壁原以为这样的优等生不屑于合唱活动，却在当天放学后发现佐条独自留在教室练习。鬼使神差地，擅长音律的草壁主动提出要帮助佐条练习唱歌。经过多日的相处，草壁渐渐被认真的佐条吸引，却一直苦恼于对方是为了他人才如此努力学习唱歌。到了合唱祭这一天，草壁忽然控制不住情绪，在正式演出中途跑了出去，佐条见状紧张地追上。在空荡荡的校园里，二人终于向对方确定了心意。夏天要结束了，而他们青春的诗篇才刚刚开始。
这个杀手不太冷,(1994),2024-11-01 (CN),犯罪、剧情、动作,2h 13m,83,法语,"{'吕克·贝松': 'Director, Screenplay'}",里昂是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……
献给我的前妻,(2019),2019-11-08 (EC),剧情、喜剧,1h 34m,83,西班牙语,"{'Jorge Ulloa': 'Director, Screenplay', 'Diego Ulloa': 'Screenplay', 'Julio Pañi': 'Screenplay', 'Nataly Valencia': 'Screenplay'}",这部电影讲述了21岁的阿里尔的故事：为筹钱挽回濒临破裂的恋情、与前女友重逢，他决定组建一支摇滚乐队，参加奖金高达一万美元的乐队大赛，这已是他最后的办法——此前，女友因要前往芬兰实习，两人的感情走到了尽头。阿里尔和好友奥尔特加一起举办海选招募乐队其他成员，尽管两人对音乐一窍不通，最终还是组建起一支成员性格迥异、喜好截然不同的乐队。
我们如此相爱,(1974),1974-12-21 (IT),剧情、喜剧,2h 4m,83,意大利语,"{'埃托雷·斯科拉': 'Director, Screenplay, Story', '艾根诺尔·因克鲁西': 'Screenplay, Story', '富里奥·斯卡佩利': 'Screenplay, Story'}",安东尼奥（尼诺·曼弗莱迪 Nino Manfredi 饰）、贾尼（维托里奥·加斯曼 Vittorio Gassman 饰）和尼古拉（Stefano Satta Flores 饰）是战争时代的生死之交。战争结束后，他们回归了家乡，开始了各自迥异的生活。安东尼奥结识了美丽女孩露西安娜（斯蒂芬尼娅·桑德雷莉 Stefania Sandrelli 饰），坠入了情网，可露西安娜喜欢的却偏偏是贾尼。可最终，贾尼选择同侯爵女儿结婚，露西安娜陷入了痛苦之中，此时，安东尼奥再度出现在了露西安娜的身边，陪伴守护着她。露西安娜一直希望能够成为一名演员，为了实现理想，她甚至不惜向负责挑选演员的负责人献出了肉体。几经波折，安东尼奥和露西安娜总算坦诚相对，互诉衷肠，一对璧人终于走到了一起。
五等分的新娘 剧场版,(2022),2022-05-20 (JP),动画、喜剧、爱情,2h 16m,83,日语,"{'神保昌登': 'Director', '大知庆一郎': 'Screenplay'}",为了让「濒临留级」又「讨厌学习」的美少女五姐妹通过学校考试毕业，主角风太郎以兼职家庭教师的身份来到中野家指导她们的课业，也因此渐渐与五胞胎们培养出感情。怀抱着各种想法的各人也迎来高中生活最后的活动「学园祭」。「学园祭第一天15时请到教室来。」聚集在教室里的五胞胎们，风太郎想告诉她们的是……
带来灵魂：防弹少年团演唱会电影,(2019),2019-08-07 (KR),音乐、纪录,1h 43m,83,朝鲜语,{'Park Jun-soo': 'Director'},据媒体报道防弹少年团 第三部演唱会电影《Bring the Soul：The Movie》确定将于8月7日全球同步上映并公开了海报。据悉，该电影记录了防弹少年团从首尔开始经过众多的城市，结束漫长的欧洲巡演后在围坐在巴黎一个小小的屋顶举行属于他们自己的庆祝宴的模样。另外，《Bring the Soul：The Movie》将展现防弹少年团7名成员各样的魅力，他们率真坦诚的面貌将带给观众心动和感动，该片将于8月7日上映。
摩登时代,(1936),1936-09-17 (CN),喜剧、剧情、爱情,1h 27m,83,英语,"{'查理·卓别林': 'Director, Screenplay'}",二十年代的美国处于经济萧条时期，失业率居高不下，工人受尽压榨，成为了大机器生产中的一颗螺丝钉。查理就是一个底层市民，他在一个机器隆隆的厂房里日以继夜地工作，以赚取微薄的收入。重复繁重的工作压得他喘不过气，他把人们的鼻子当成螺丝钉来拧，卷入流水线机器的皮带里，令人苦笑不得。
生活多美好,(1946),1946-12-20 (US),剧情、家庭、奇幻,2h 11m,83,英语,"{'弗兰克·卡普拉': 'Director, Screenplay', '弗朗西丝·古德里奇': 'Screenplay', '阿尔伯特·莫里斯·哈克特': 'Screenplay'}",一位天使被派往人间，帮助一位万念俱灰的商人，向他展现假如他从未存在过，生活将会是怎样的光景。
大独裁者,(1940),2021-09-19 (CN),喜剧、战争,2h 5m,83,英语,"{'查理·卓别林': 'Director, Screenplay'}",在其备受争议的杰作中，查理·卓别林既尖刻地讽刺了阿道夫·希特勒，又巧妙地颠覆了自身的喜剧形象。在其首部纯有声片中，卓别林以精湛的肢体表现力分饰两角：残酷而滑稽的“托曼尼亚”独裁者，以及被错认成他的善良犹太理发师。凭借杰克·奥克与宝莲·高黛的精彩配角演绎，这部在美国正式加入二战前便大胆直指法西斯领导人的作品，将政治讽喻与肢体喜剧熔铸成登峰造极的艺术表达，最终在卓别林那段传世的激扬演说中达到高潮。
日落大道,(1950),2026-04-16 (CN),剧情,1h 50m,83,英语,"{'比利·怀尔德': 'Director, Screenplay', '小D.M.马什曼': 'Screenplay', '查尔斯·威廉·布莱克特': 'Screenplay'}",好莱坞的声名终会消散——只需问问诺玛·戴斯蒙德。她曾是影坛传奇，如今已成被人遗忘的旧时代残影。当穷困潦倒的编剧乔·吉利斯误入她那衰败的宅邸，便陷入了她偏执与妄想的罗网。起初看似机遇的邂逅，很快演变为一场危机四伏的困局。这部作品被广泛认为是好莱坞黄金时代最伟大的影片之一，它以阴郁、扭曲又萦绕人心的视角，凝视着好莱坞的轮回——那里青春是流通货币，才华转瞬即逝，而聚光灯终会黯淡。[派拉蒙影业]
西部往事,(1968),2018-04-16 (CN),剧情、西部,2h 46m,83,意大利语,"{'赛尔乔·莱昂内': 'Director, Screenplay, Story', '塞尔吉奥·多纳蒂': 'Screenplay', '贝纳尔多·贝托鲁奇': 'Story', '达里欧·阿基多': 'Story'}",塞尔吉奥·莱昂内的这部不朽史诗，其恢弘堪比取景地纪念碑谷，其气度媲美星光熠熠的杰出演员阵容，其粗粝不羁正如每个孩子想象中的狂野西部。影片围绕一名神秘的口琴客、一位寻找杀父仇人的寡妇、一个亡命之徒以及一名铁路大亨之间错综复杂的关系展开，以恩尼奥·莫里康内传奇般的配乐为灵魂，塑造了影史中最令人难忘的西部片开场与结局。这是一首对正在消逝的旧西部的挽歌，也是一部永远重塑了该类型的杰作。
触不可及,(2011),2011-11-02 (FR),剧情、喜剧,1h 52m,83,法语,"{'埃里克·托莱达诺': 'Director, Screenplay', '奥利维埃·纳卡什': 'Director, Screenplay', '菲利普·波佐·迪·博尔戈': 'Novel'}",因为一次跳伞事故，白人富翁菲利普Philippe（弗朗索瓦·克鲁塞 François Cluzet 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德希斯Driss（奥玛·赛 Omar Sy 饰）的出现才让他作出决定。德希斯刚从监狱出来，背负家庭重担，一心只想寻张辞退信以申领救济金，而且他明显对女助理的兴趣要远大于这份工作。但是菲利普还是一眼相中了这个小伙子。于是，德希斯开始了一个月的试用期。虽然舒适的豪宅环境让他倍感虚荣，但是他仍面临很多挑战：不仅要为菲利普作身体复健，还得给他洗浴、灌肠、拆信、穿丝袜等。起初，两人的思维方式与价值观大相径庭，但是，随着了解的不断深入，他们成为了朋友。本片取材于真实事件，获2011年东京电影节最佳影片金麒麟奖，弗朗索瓦·克鲁塞与奥玛·赛分享影帝桂冠。
