电影名称,年份,上映时间,电影类型,电影时长,评分,语言,制作组,简介
现代启示录,(1979),1979-05-19 (CN),剧情、战争,3h 22m,83,英语,"{'弗朗西斯·科波拉': 'Director, Writer', '约翰·米利厄斯': 'Writer'}",越战期间，威拉德上尉受命执行一项危险任务，深入柬埔寨刺杀一位脱离建制的叛变上校——此人已在当地部落自封神明。
夜与雾,(1956),1956-05-22 (FR),纪录、历史,32m,83,法语,"{'阿伦·雷乃': 'Director', '让·凯罗尔': 'Screenplay'}",1956年导演阿伦•雷乃用摄影机带领观众重回奥斯维辛。当年纳粹集中营的旧址上已是一片祥和美丽的野外风光。然而时间倒回到1933年纳粹党掌权之时，整个城市被阴霾笼罩——大片修建起来的集中营房排列整齐，大量犹太人被抓进集中营开始接受非人的折磨和侮辱。这里对人种进行分级，在皮肤上纹上编号，在衣服上缝制等级的徽章。疾病，饥饿，劳役使集中营尸体遍地。1942年希莱姆到访，奉行“破坏”政策，集中营难民进入更加悲惨的境遇，被药品公司买下用作实验。1945年，集中营人数倍增后已不堪负荷，成堆的尸体被推土机推入大坑掩埋......
乔西的虎与鱼,(2020),2021-06-11 (CN),动画、剧情、爱情,1h 38m,83,日语,"{'田村耕太郎': 'Director', '桑村沙耶香': 'Screenplay'}",专攻海洋生物学的恒夫，为了实现自己能够亲眼看一下只生活在墨西哥的梦幻鱼群的梦想，日夜不停地在进行着兼职打工。一天恒夫偶然遇见一个女孩坐在轮椅上，失控从斜坡上冲下来。得到了大学生恒夫救了这个女孩。这个女孩叫乔西，自幼便一直坐在轮椅上，她的祖母千津一直照顾乔西，和她相依为命。祖母千津向恒夫介绍了一份兼职工作。这份工作的内容就是听从乔西的要求，并想办法满足她。乔西活在自我世界里，可以遨游在自己感兴趣的绘画和书籍的海洋中。然而，她不善与他人交流且十分固执。乔希对恒夫非常刻薄，而恒夫也没有在意乔西是个残疾人，直率地回应她……
从前有个工作室,(2023),2023-11-24 (CN),动画、家庭、奇幻、剧情、喜剧,9m,83,英语,"{'Dan Abraham': 'Director, Story, Writer', 'Trent Correy': 'Director, Story, Writer'}",短片为迪士尼成立满100周年的纪念作品，导演崔伦特·柯瑞和丹·亚伯拉罕花了大约八个月时间构思，他们称该短片是写给华特迪士尼动画工作室的“情书”，也是“对过去一百年来与电影产生联系的观众表达感谢”。该短片登场的角色多达400多个，其中包括《石中剑》的梅林、《公主与青蛙》的蒂安娜、《冰雪奇缘系列》的艾莎、《星际宝贝系列》的史迪奇以及《四眼天鸡》的鸡丁，并由40多名配音员声演。
从天而降,(2019),2019-12-24 (MX),喜剧、剧情、音乐,1h 52m,83,西班牙语,"{'Pepe Bojórquez': 'Director, Screenplay', 'Alfredo Felix-Diaz': 'Screenplay'}",墨西哥传奇人物佩德罗·因凡特（Pedro Infante）在地球上又获得了一次机会，可以为自己与女性的交往赎罪，并在一个模仿者的身体里赢得天堂.
萤火之森,(2011),2011-09-17 (JP),爱情、动画、奇幻,44m,83,日语,"{'大森贵弘': 'Director, Screenplay'}",某年夏天，6岁小女孩竹川萤来到爷爷家度假，她闯进了传说住满妖怪的山神森林。正当她因为迷路而焦急万分的时候，一个戴着狐狸面具的大男孩出现在她面前，并引领着萤找到回家的路。虽然萤分外感激，可是男孩却禁止她碰触自己的身体，原来这名叫银的男孩并非人类，他一旦被人类碰触就会烟消云散。在此后的日子里，萤和银成为好朋友，他们走遍了森林的每一个角落玩耍。日复一日，年复一年，每到夏天的时候萤就会如约来到森林和好朋友见面。她遵守着和银的约定，无论如何也不碰触银的身体。随着年龄的增长，萤和银对彼此的情感都悄悄发生了变化，他们共同期待相聚的日子，共同期待拥抱对方。本片根据绿川幸的原作改编。
迈克尔·杰克逊：颤栗,(1983),1983-11-21 (US),恐怖、音乐、惊悚,14m,83,英语,"{'约翰·兰迪斯': 'Director, Screenplay', '迈克尔·杰克逊': 'Writer'}",黑人女青年（欧拉·蕾 Ola Ray 饰）跟男友（迈克尔·杰克逊 Michael Jackson 饰）因为汽车没油了走在回家的路上，男友像她示爱，女青年欣然接受，但是男青年向她透露自己跟常人不一样。正当女青年在犯迷糊之时男友已经趁着月光变身成了狼人，关键时刻镜头一转才发现真实的情况是这只是女青年和男友正在看的恐怖片。女青年因为害怕决定要早走，男友追上了她，解释一番过后两个嬉笑着回家。但是真正的危险正在发生，当他们路过一片墓地时，恐怖的食人尸都从地底下爬了出来……
新世纪福音战士剧场版：Air / 真心为你,(1997),1997-07-19 (JP),动画、科幻、剧情、奇幻,1h 27m,83,日语,"{'庵野秀明': 'Director, Screenplay', '鹤卷和哉': 'Director'}",《新世纪福音战士》系列第二部剧场版，于 1997 年 7 月 19 日在日本上映。全名：《新世纪福音战士剧场版：THE END OF EVANGELION》（日语：新世紀エヴァンゲリオン 劇場版 THE END OF EVANGELION - Air/まごころを、君に，英语：NEON GENESIS EVANGELION: THE END OF EVANGELION - AIR/SINCERELY YOURS）。剧情承接 TV 动画版第 24 集，包括了重新制作的第 25 、第 26 话。在这部剧场版中第 25 话的名字是 “AIR”（天空），而副标题是 “LOEV IS DESTRUCTIVE”（爱是一种伤害）；第 26 话的名字是 “YOUR SINCERELY”（真心为你），副标题是“ONE MORE FINAL: I NEED YOU”（再说最后一遍：我需要你）。剧场版的每一话都和电视版一样有一个 “EYE - CATCH” 镜头（即每集中间那个黑底白字的英文标题）。这部剧场版标志着整个旧世纪《新世纪福音战士》的终结。影片分成 “Air” 与 “真心为你” 两个部分。神秘的 EVA 零号机驾驶员绫波丽，在与碇元渡约定之时，来到了 NERV 底层中央教条的红色水池边。她的命运似乎就将在此结束。在危急时刻，葛城美里不但要完成加持良治交待的对“第二次浩劫”真相以及“人类补完计划”的探查工作，还要保护碇真嗣与明日香，以及防备 SEELE 对初号机与二号机的物理接触。出于对碇元渡的憎恨，赤木律子接受了 SEELE 引爆 MAGI 的提案，她能否成功 ？长期与 SEELE 共事的碇元度、冬月耕造、碇唯，为了防止人类“最终的悲剧”，而酝酿了的“人类补完计划”能否实现 ？尽在《新世纪福音战士》电影版第 2 部中解答。
狮子王,(1994),1995-07-15 (CN),动画、家庭、剧情,1h 29m,83,英语,"{'罗杰·艾勒斯': 'Director', '罗布·明科夫': 'Director', '艾琳·梅奇': 'Screenplay', '琳达·伍尔弗顿': 'Screenplay', '乔纳森·罗伯茨': 'Screenplay', 'Thom Enriquez': 'Story', '伯尼·马丁森': 'Story', 'Jørgen Klubien': 'Story', '克里斯·桑德斯': 'Story', 'Larry Leker': 'Story', '乔·兰福特': 'Story', 'Jim Capobianco': 'Story', 'Mark Kausler': 'Story', '弗朗西斯·格勒巴斯': 'Story', '里克·马基': 'Story', 'Kevin Harkey': 'Story', 'Barry Johnson': 'Story', '加里·特鲁斯代尔': 'Story', 'Andrew Gaskill': 'Story', 'Ed Gombert': 'Story', 'Lorna Cook': 'Story', 'Tom Sito': 'Story'}",辛巴是荣耀王国的小王子，他的父亲穆法沙是一个威严的国王。然而叔叔刀疤却对穆法沙的王位觊觎已久。要想坐上王位，刀疤必须除去小王子。于是刀疤利用种种借口让辛巴外出，然后伺机大开杀戒，无奈辛巴被穆法沙及时来救。在反复的算计下，穆法沙惨死在刀疤手下。刀疤一方面别有用心地劝辛巴离开，一方面派人将他赶尽杀绝。辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们抚养辛巴长成雄壮的大狮子，鼓励他回去森林复国。在接下来一场复国救民的斗争中，辛巴真正长成一个坚强的男子汉，领会了责任的真谛。
光荣之路,(1957),1957-12-20 (US),战争、剧情,1h 27m,83,英语,"{'斯坦利·库布里克': 'Director, Screenplay', '汉弗莱·科布': 'Novel', '考尔德·威林厄姆': 'Screenplay', '吉姆·汤普森': 'Screenplay'}",斯坦利·库布里克执导，堪称影史最具震撼力的反战电影之一。柯克·道格拉斯以炽烈演技诠释第一次世界大战期间一位法国上校的形象——当他的士兵因未能完成不可能的任务而被控怯战时，他毅然与军队高层的冷酷权威展开正面对抗。这部以精湛摄影呈现的沉郁之作，精准剖解了军事机器的荒谬本质与非人性化机制（这一主题将持续贯穿库布里克的创作生涯）。从压抑的战壕对峙到扣人心弦的法庭高潮，直至摧人心魄的结局场景，全片以这位传奇导演标志性的精准掌控力层层推进，铸就了这部不朽杰作。[标准收藏公司]
七号房的礼物,(2019),2020-10-15 (CN),剧情,2h 12m,83,土耳其语,"{'Mehmet Ada Öztekin': 'Director', 'Kubilay Tat': 'Screenplay', 'Özge Efendioğlu': 'Writer'}",梅莫（阿拉斯·布鲁特·伊涅姆利 Aras Bulut Iynemli 饰）虽然生得人高马大，但却只有相当于6岁孩童一般的智慧，他带着女儿奥瓦（妮莎·索菲亚·阿克松古尔 Nisa Sofiya Aksongur 饰），同奶奶法蒂玛（塞利尔·托扬·乌伊萨尔 Celile Toyon Uysal 饰）生活在一起，日子虽然过得紧巴巴的，但一家人能够团聚就是最大的快乐。  哪知道某日祸从天降，连一只蚂蚁都不愿意踩死的梅莫，竟然背负上了莫须有的杀人罪名，被关进了七号牢房中，单纯的梅莫并不知道自己即将面临怎样悲惨的命运。在监狱里，梅莫很快就和他的狱友们成为了朋友，梅莫开朗乐观的性格感染了周围的每一个人，给他们带来了快乐和希望，为了回报梅莫，这些曾经“穷凶极恶”的罪人们决定用他们的性命为筹码，来实现梅莫一个希冀已久的愿望。
城市之光,(1931),1931-03-07 (US),喜剧、剧情、爱情,1h 27m,82,英语,"{'查理·卓别林': 'Director, Screenplay', '哈里·卡尔': 'Screenplay', '哈里·克罗克': 'Screenplay'}",这部查理·卓别林最受珍爱的作品，亦是其流浪汉形象的终极篇章。在这部无声影片中，身兼编剧、导演与主演的卓别林达到了悲喜交融的新境界：可爱的流浪汉爱上街头卖花的失明少女（弗吉尼亚·切瑞尔诠释出魔幻般的纯真），却被女孩误认为百万富翁。尽管这部大萧条时期的轰动之作诞生于有声时代来临之后，卓别林仍毅然坚守对默片艺术表现力的热爱。最终成就了他个人艺术的巅峰，亦加冕为默片喜剧的不朽丰碑。
黑客帝国,(1999),2000-01-14 (CN),动作、科幻,2h 16m,82,英语,"{'拉娜·沃卓斯基': 'Director, Writer', '莉莉·沃卓斯基': 'Director, Writer'}",不久的将来，网络黑客尼奥对这个看似正常的现实世界产生了怀疑。他结识了黑客崔妮蒂，并见到了黑客组织的首领墨菲斯。墨菲斯告诉他，现实世界其实是由一个名叫“母体”的计算机人工智能系统控制，人们就像他们饲养的动物，没有自由和思想，而尼奥就是能够拯救人类的救世主。可是，救赎之路从来都不会一帆风顺，到底哪里才是真实的世界？如何才能打败那些超人一样的特勤？尼奥是不是人类的希望？这是黑客的帝国，程序和代码欢迎大家的到来。
洞,(1960),1960-03-18 (FR),剧情、惊悚、犯罪,2h 12m,82,法语,"{'雅克·贝克': 'Director, Screenplay', '何塞·乔凡尼': 'Novel, Screenplay', '让·奥雷尔': 'Screenplay'}",在巴黎的一间牢房里，五名囚犯用尽全部的坚韧与智慧，试图通过精心挖掘的隧道重获自由。根据若泽·乔瓦尼的小说改编，雅克·贝克的这部影片在诗意的人文关怀与紧绷得令人窒息的危险氛围间取得了精妙的平衡。
边境奇袭,(2025),2025-02-28 (MX),动作、冒险、惊悚,1h 25m,82,西班牙语,"{'Chava Cartas': 'Director', 'José Rubén Escalante Méndez': 'Writer'}",一场人质营救行动带来了新的敌人，格雷罗上尉和他的精英士兵们必须应对残忍犯罪团伙的埋伏。
云上情歌,(2020),2020-10-09 (US),音乐、剧情,2h 1m,82,英语,"{'卡拉·霍尔顿': 'Screenplay, Story', '贾斯汀·贝尔杜尼': 'Director', '帕特里克·科普卡': 'Story', '亚历克斯·维加': 'Story'}",美国男孩扎克·索比赫14岁被诊断患有骨肉瘤(18岁去世)，多次手术和化疗并未遏制癌症发展，在得知自己只剩几个月寿命后，他创作了《云》这首歌，感谢自己身边的人和所经历的一切，乐观面对。
为了萨玛,(2019),2019-07-26 (US),纪录、战争,1h 36m,82,英语,"{'Edward Watts': 'Director', 'Waad al-Kateab': 'Director'}",本片既是一段深入战争女性体验的私密旅程，也是一曲波澜壮阔的史诗。这部一位年轻母亲写给女儿的深情家书，以瓦德·卡提卜的镜头穿越叙利亚阿勒颇五年起义时光，记录她在战火蔓延中坠入爱河、缔结婚姻并诞下女儿萨玛的人生轨迹。在灾难性冲突愈演愈烈之际，她的摄像机捕捉到无数关于失去、欢笑与生存的震撼片段，而瓦德本人则深陷两难抉择——是否该为保护女儿生命逃离这座城市？离去意味着抛下她已付出巨大代价的自由抗争。
海上钢琴师,(1998),2019-11-09 (CN),剧情、音乐,2h 50m,82,意大利语,"{'朱塞佩·托纳多雷': 'Director, Screenplay, Writer', '亚历山德罗·巴里科': 'Novel, Screenplay, Story'}",男主角1900（人名）是一个被人遗弃在蒸气船上的孤儿，被船上一位好心的烧炉工收养，然而好人不得好报，烧炉工在一次意外中死亡，只有8岁大的1900又再度成为了孤儿。过人的天赋使他无师自通成了一名钢琴大师，但宿命也令他天然地对红尘俗世深怀戒意，他从不敢离船上岸去，只因纽约无际的高楼和川流不息的人群令他迷失自我。纵使后来遇上了一位一见钟情的少女，他思量再三后，还是放弃了上岸寻找初恋情人的冲动...
复仇者联盟3：无限战争,(2018),2018-05-11 (CN),冒险、动作、科幻,2h 36m,82,英语,"{'基思·吉芬': 'Characters', '斯坦·李': 'Characters', '拉里·利伯': 'Characters', '唐·赫克': 'Characters', '杰克·柯比': 'Characters', '史蒂夫·甘': 'Characters', '史蒂夫·恩格尔哈特': 'Characters', '乔·西蒙': 'Characters', '吉姆·斯特林': 'Characters', '比尔·曼特罗': 'Characters', '乔·罗素': 'Director', '安东尼·罗素': 'Director', '斯蒂芬·麦克菲利': 'Screenplay', '克里斯托弗·马库斯': 'Screenplay'}",随着复仇者联盟及其盟友继续保护世界免受来自任何单一英雄难以承担的威胁，一个新的危险从宇宙的阴影中浮现——灭霸。作为一个星际恶名昭彰的暴君，他的目标是收集所有六颗无限宝石，这些宝石拥有难以想象的力量，并利用它们将扭曲的意志强加于现实的每一个角落。复仇者们为此奋斗的一切都指向了这一刻——地球和整个存在的命运从未如此不确定。
复仇者联盟4：终局之战,(2019),2019-04-24 (CN),冒险、科幻、动作,3h 1m,82,英语,"{'吉姆·斯特林': 'Characters', '比尔·曼特罗': 'Characters', '基思·吉芬': 'Characters', '斯坦·李': 'Characters', '拉里·利伯': 'Characters', '唐·赫克': 'Characters', '杰克·柯比': 'Characters', '史蒂夫·甘': 'Characters', '史蒂夫·恩格尔哈特': 'Characters', '乔·西蒙': 'Characters', '乔·罗素': 'Director', '安东尼·罗素': 'Director', '斯蒂芬·麦克菲利': 'Screenplay', '克里斯托弗·马库斯': 'Screenplay'}",几近绝望的复仇者们在惊奇队长的帮助下找到灭霸归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。五年后，迷失在量子领域的蚁人意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长冰释前嫌的托尼找到了穿越时空的方法，星散各地的超级英雄再度集结，他们将分别穿越不同的时代去搜集无限宝石。与此同此，平行宇宙的灭霸察觉了他们的计划。这是一场注定要载入史册的终局之战，超级英雄们为了心中恪守的信念前仆后继……
老男孩,(2003),2003-11-21 (KR),惊悚、悬疑,2h,82,朝鲜语,"{'朴赞郁': 'Director, Screenplay', '林俊亨': 'Screenplay', '黄肇允': 'Screenplay'}",女儿生日那天，中年男子吴大修（崔岷植饰）在醉酒回家路上，突遭不明身份的人绑架失踪。就此，他毫无理由地被囚禁在一个神秘的私人监狱中。寻死未果的吴大修，每天看电视，三餐吃煎饺。通过电视，他得知妻子已遭杀害，女儿下落不明，自己更被怀疑为凶手。就此，吴大修开始锻炼身体，决心复仇，并在牢中度过漫长的15年...
牯岭街少年杀人事件,(1991),1991-07-27 (TW),犯罪、剧情、爱情,3h 57m,82,汉语,"{'杨德昌': 'Director, Writer', '赖铭堂': 'Writer', '杨顺清': 'Writer', '鸿鸿': 'Writer'}",这部由杨德昌执导的台湾电影杰作，被誉为当代影坛最受推崇与渴求的作品之一。影片以六十年代初的台湾为背景，改编自一起震动全岛的真实案件。这部兼具宏大格局与私密情感的巨作，以小说般的笔触与沉静的凝视，聚焦一位少年（张震的银幕首秀）从纯真逐渐无可挽回地滑向犯罪深渊的过程，并交织着躁动青春、摇滚乐与政治动荡的压抑时代底色。
GIVEN 被赠与的未来 剧场版,(2020),2020-08-22 (JP),动画、剧情、音乐、爱情,59m,82,日语,"{'山口光': 'Director', '绫奈由仁子': 'Screenplay'}",高中生上山立夏热爱演奏吉他，与春树和秋彦合组一个小乐队。某个午休，他意外帮佐藤真冬修好吉他弦后，被真冬拜托教吉他，而后又在听到真冬的歌声后邀请他加入乐队。立夏在相处的过程中渐渐喜欢上真冬，真冬有一个彼此互相喜欢并支持的青梅竹马，但那个人却自杀了，因那个人喜欢吉他，真冬才一直很想学。那个人没有做到的事，没有坚持的陪伴，立夏都帮他实现了，真冬也开始慢慢喜欢上立夏。另外一对CP春树和秋彦，春树一直默默喜欢着秋彦，为他留着长发，但秋彦却与极具音乐才华的小提琴家雨月同居在一起。动画影集以高中生的真冬与立夏两人间悲伤恬淡的爱情为主轴，首部剧场版则为大人组三人的春树、秋彦、雨月，炽热的三角恋拉开序幕。
天地玄黄,(1992),1993-11-19 (US),纪录,1h 37m,82,英语,"{'罗恩·弗里克': 'Director, Writer', '康斯坦丁·尼古拉斯': 'Writer', '吉纳维芙·尼古拉斯': 'Writer', '马克·马吉德森': 'Writer'}",我们是谁？从哪里来？又将归往何处？这些问题和我们的生存息息相关，但却很少有人能够给出准确的答案。历时14个月，穿越24个国家，导演罗恩·弗里克（Ron Fricke）用镜头向我们展示了大自然能够拥有的最壮阔最绚丽的景致——从远古到现在，从猿猴到人类，从荒无人烟的沙漠到震撼人心的宗教活动现场，从广袤天地带来的感动到婴孩单纯的笑脸给予的幸福，我们会发现，很多时候，我们并不能意识到，这美好的一切正时时刻刻的发生在我们身边。全片没有台词，片名Baraka在古伊斯兰语中代表祝福，这也是导演拍摄此片的初衷，祝福与我们共同存在在这颗蔚蓝地球上的一切。
妥瑞氏与我,(2025),2025-09-22 (GB),剧情、历史,2h 1m,82,英语,"{'柯克·琼斯': 'Director, Writer'}",本片根据社会活动家约翰·戴维森的真实人生经历改编。讲述他从20世纪80年代英国一名被误解的少年，成长为致力于推动人们理解与接纳妥瑞氏综合症的倡导者的故事。约翰在十五岁时被确诊，在逆境中艰难度过动荡的青春期，一步步走向成年。在他人善意的鼓舞下，他找到了人生真正的意义与方向。
青春猪头少年不会梦到怀梦美少女,(2019),2019-06-15 (JP),动画、爱情、剧情、奇幻,1h 30m,82,日语,"{'增井壮一': 'Director', '鸭志田一': 'Novel', '横谷昌宏': 'Screenplay'}",居住在天空与海洋辉映的城镇“藤泽”的梓川咲太，就读高中二年级。
拯救大兵瑞恩,(1998),1998-11-13 (CN),战争、剧情、历史,2h 49m,82,英语,"{'史蒂文·斯皮尔伯格': 'Director', '罗伯特·罗达特': 'Writer'}",成功登陆诺曼底后，约翰·米勒上尉带领一队士兵深入敌后，寻找一名三个兄弟均已阵亡的伞兵。
我想吃掉你的胰脏,(2018),2019-01-18 (CN),动画、剧情、爱情,1h 49m,82,日语,"{'牛岛新一郎': 'Director, Screenplay', '住野夜': 'Novel'}",“没有名字的我，没有未来的她” 对他人毫无兴趣，总是独自一人读书的高中生“我”。这样的“我”有一天，偶然捡到一册写着《共病文库》的文库本。那是，天真烂漫的班上人气王·山内樱良私下记录的日记本。里面记载着她身患胰脏的疾病，已经时日无多……。隐藏自己的疾病度过日常的樱良，与知晓其秘密的“我”。— 两人的距离，还没有名字。
角斗士,(2000),2000-08-12 (CN),动作、剧情、冒险,2h 35m,82,英语,"{'大卫·弗兰佐尼': 'Screenplay, Story', '雷德利·斯科特': 'Director', '约翰·洛根': 'Screenplay', '威廉·尼科尔森': 'Screenplay'}",马克西蒙斯是罗马帝国战功显赫，受人拥戴的大将军。老国王马库斯·奥利利乌斯对大将军赏识有加，有意加冕于他。老国王对将军这种超越亲情的宠爱自然招来太子康莫迪乌斯的妒忌与不安，太子伺机杀害父亲，抢先登上王位，并马上下令诛杀大将军一家。马克西蒙斯死里逃生躲过暴君的魔爪，可是他所有的家人都未能幸免于难，返回家园，他只看到满目疮痍的破败景象。走投无路的马克西蒙斯只能投身为奴，从昔日的大将军沦为一名角斗士，在血腥厮杀中苟且求生。凭借英勇的气魄和高超的武艺，马克西蒙斯渐渐脱颖而出，晋级到罗马的大角斗场。这一次，他的剑直指暴君康莫迪乌斯，失去亲人的痛苦，沦为奴隶的屈辱，在马克西蒙斯的内心燃起了熊熊怒火。
绿皮书,(2018),2019-03-01 (CN),剧情、喜剧、历史,2h 10m,82,英语,"{'彼得·法雷利': 'Director, Writer', 'Nick Vallelonga': 'Writer', '布莱恩·海耶斯·库里': 'Writer'}",托尼（维果·莫腾森 Viggo Mortensen 饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里 Mahershala Ali 饰）的黑人钢琴家提出雇佣托尼。唐雪莉即将开始为期八个星期的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异的性格使得他们之间产生了很多的矛盾，与此同时，唐雪莉在南方所遭受的种种不公平的对待也让托尼对种族歧视感到深恶痛绝。
一年中的生活,(2020),2020-11-27 (US),剧情、爱情,1h 47m,82,英语,"{'Mitja Okorn': 'Director', '杰弗里·阿迪斯': 'Writer', 'Will Matthews': 'Writer'}",泰伦斯·霍华德(《嘻哈帝国》)确认加盟加盟新片[一年中的生活](Life In A Year，暂译)。该片将由Mitja Okorn执导，讲述一个17岁的男孩，在发现患有癌症的女朋友只剩下一年的生命后，决定在她还没离去的这一年给她一个完整的人生。贾登·史密斯、卡拉·迪瓦伊加盟主演，泰伦斯饰贾登的父亲。
超级马力欧银河大电影,(2026),2026-04-03 (CN),家庭、喜剧、冒险、奇幻、动画,1h 38m,82,英语,"{'迈克尔·杰勒尼克': 'Director', '亚伦·霍瓦特': 'Director', '马修·福格尔': 'Screenplay'}",重返奇妙世界，探索浩瀚宇宙，罗莎塔公主、酷霸Jr.、耀西等更多惊喜角色登场，开拓更宏大酷炫的版图，呈现更精彩纷呈的冒险。
男孩、鼹鼠、狐狸和马,(2022),2022-12-02 (GB),动画、家庭、剧情、冒险,35m,82,英语,"{'Peter Baynton': 'Director', 'Charlie Mackesy': 'Director', 'Jon Croker': 'Writer'}",查理·麦克西的同名绘本改编的手绘动画，关于善良、友谊、勇气和希望，通过一段辛酸而真挚的旅程，讲述了一个男孩、一只鼹鼠、一只狐狸和一匹马，四个孤独的灵魂在寻找家的过程中结伴而行，并在彼此身上找到了自己存在的意义。
克劳斯：圣诞节的秘密,(2019),2019-11-08 (ES),动画、家庭、喜剧,1h 37m,82,英语,"{'塞尔吉奥·巴勃罗斯': 'Director, Screenplay', 'Zach Lewis': 'Screenplay', 'Jim Mahoney': 'Screenplay'}",贾斯帕（詹森·舒瓦兹曼饰）被认为是邮政学院最差的学生，他驻扎在北极圈内的一个冰冻岛屿上，那里的当地人之间几乎不交流，更不用说写信了。当贾斯帕准备放弃之时，他找到了自己的盟友阿尔娃（当地的一名教师，拉什达·琼斯饰），并发现了克劳斯（奥斯卡奖得主 J·K·西蒙斯饰），克劳斯是一个神秘的木匠，独自住在一个满是手工玩具的小屋里。这几段不可思议的友谊让斯密伦斯堡又重新充满了欢声笑语，创造出了新的故事，这里有慷慨的邻居、神奇的传说和小心翼翼挂在烟囱上的长袜。《克劳斯：圣诞节的秘密》是一部节日喜剧动画片，由《神偷奶爸》联合创剧人塞尔希奥·巴勃罗斯担任导演，由琼·库萨克、威尔·萨索和诺曼·麦克唐纳徳联袂主演。
单向乐队：这就是我们,(2013),2013-08-30 (US),纪录、音乐,1h 32m,82,英语,{'Morgan Spurlock': 'Director'},继贾斯汀-比伯、凯蒂-佩瑞之后，英国当红偶像团体“单向乐队”(One Direction)也将拥有自己的3D音乐会纪录片，索尼公司今天宣布这部名为《单向乐队》(One Direction)的3D纪录电影将于2013年8月30日上映，索尼旗下三星影业(TriStar Pictures)将负责发行。
比莉·艾利什：模糊世界,(2021),2021-02-26 (US),纪录、音乐,2h 20m,82,英语,"{'R. J. Cutler': 'Director, Writer'}",熟悉的歌声响起，从小到大的她的影像出现，聚焦这个尚未满19岁的年轻歌手的崛起、她那些改变了自己和许多人人生的音乐、她台前幕后的生活。
